ID,Module,Scenario,Expected Result
TC-032,Credits,Check balance on Header,Visual badge shows current credits (e.g., 💰 5).
TC-033,Earning,Order status → ""Delivered"","User receives 10 credits, In-app notification N-04."
TC-034,Spending,AI Artwork Generate,Deducts 5 credits from balance, confirms in Modal.
TC-035,Spending,AI Help/Upscale,Deducts 3 credits from balance (configurable).
TC-036,Low Balance,"Balance < 5, try to Generate","Error ""Không đủ credits"", CTA to Product Shop."
TC-037,History,View Credits History,"Shows ""Earn: Order"", ""Spend: AI Gen"" with dates."
TC-038,Welcome,First time registration,Immediate 5 credits bonus granted.
TC-039,AI Gen,Prompt with valid keywords,4 varied artwork images returned for selection.
TC-040,AI Gen,Use generated image in Design,Image applied to canvas as high-res asset.
TC-041,Daily Limit,Exceed max_daily_generations (10),Block generation, show limit reached message.
TC-042,Content Filter,NSFW or prohibited text,AI Safety filter blocks and gives warning.
TC-043,Cart,Change quantity of designed item,"Subtotal updates, unit_price remains same."
TC-044,Cart,Remove design item,Item deleted from cart and localStorage.
TC-045,Discount,Apply valid code ""FREESHIP"",Shipping fee = 0, summary updates.
TC-046,Discount,Apply code with Min Order req,Error ""Đơn hàng chưa đạt mức tối thiểu"" if subtotal too low.
TC-047,Discount,Expired code,Error ""Mã giảm giá đã hết hạn"".
TC-048,Checkout,Pie Chart Breakdown,Chart renders with ESG vs Ink vs Ops breakdown.
TC-049,VNPay,Create payment URL,Redirects to VNPay gateway within 3s.
TC-050,VNPay,Payment Cancelled by User,"Redirect back to checkout, status = pending/failed."
TC-051,VNPay,Payment Success callback,"Status updated to ""Paid"", Order status → ""Confirmed""."
TC-052,Bank Transfer,Select Bank Transfer,"Display account details, order remains ""Pending"" until admin verify."
TC-053,Comparison,Savings text display,"""Tiết kiệm 151.000₫ (43%)"" visible next to price."
TC-054,Order Mgmt,View order detail for fulfillment,"Admin sees design file URLs, customer address, size/color."
TC-055,Status Update,Update order → Printing,Notify user N-05 via In-app and Email.
TC-056,Product CRUD,Add new color to Product,Instantly available in User product page.
TC-057,Config,Change AI Generation Cost,Cost reflected in confirmation modal for users.
TC-058,User Lock,Lock user for fraud,User cannot login, receives email notification.
TC-059,Load Time,Landing page via Mobile 4G,"LCP ≤ 2.5s, Total Page Load ≤ 5s."
TC-060,Concurrent,500 users at checkout simultaneously,API p95 response time ≤ 500ms.
TC-061,Upload,Upload 20MB artwork file,Completes in ≤ 10s (NFR-P04).
TC-062,Resilience,DB Failure / Restart,"Transactions roll back, session persisted in Redis."
TC-063,Editor,Close window while designing,Auto-save (every 30s) allows recovery on next visit.
TC-064,Order,Checkout with 100 quantity,Check if shipping fee calculates weight or per item correctly.
TC-065,Auth,Verify email after 23h 59m,Link still valid.
TC-066,Credit,Refund order (Earned credits used),System handles negative balance or block refund (Needs BA confirmation).
TC-067,Notify,New Order placed,Admin receives Dashboard alert.
TC-068,Notify,Payment Failed,User receives In-app alert + email with retry link.
TC-069,Notify,Order Shipped,User receives N-06 with tracking number.
TC-070,Notify,Credit Received,Real-time toast notification on receipt.
TC-071,A11y,Keyboard Tab order on Checkout,Navigates from Name → Address → Payment → Submit logically.
TC-072,A11y,Screen reader on Pie Chart,Announces cost breakdown clearly.
TC-073,UX,Skeleton loading on Slow Network,Placeholders show while content loads.
TC-074,UX,Color swatch hover,"Shows color name (e.g., ""Black ESG"") in tooltip."
TC-075,API,GET `/api/products`,Returns array of active products with full metadata.
TC-076,API,POST `/api/orders` without Address,400 Bad Request ""Thiếu thông tin nhận hàng"".
TC-077,API,PUT `/api/orders/:id/cancel` (already Printing),400 Bad Request, cannot cancel if already in production.
TC-078,Webhook,VNPay IPN checksum error,"Log security alert, order remains ""Pending""."
TC-079,Security,SQL Injection in Search Bar,"Sanitized input, no DB leakage."
TC-080,Security,XSS in Design Name,Script tags escaped, no alert execution.
TC-081,Security,Direct access to Admin API via User token,403 Forbidden.
TC-082,Security,Brute force login (5 failed attempts),Account locked or IP rate limited.
TC-083,DB,Soft delete user,`deleted_at` timestamp set, user metadata preserved for orders.
TC-084,DB,Concurrent order placement same SKU,Stock (if tracked) decremented correctly (AC-05).
TC-085,Rules,Credit usage per generation,Exactly 5 credits deducted; cannot generate part-way.
TC-086,Rules,Maximum discount amount,Percent discount capped at `max_discount` amount.
TC-087,Rules,Mixed Cart (Plain + Design),Discounts applied to whole cart or specific items (needs check).
TC-088,Rules,Guest checkout attempt,Interrupted by Auth modal (MANDATORY).
TC-089,Rules,Re-register after soft-delete,"Blocked if same email, unless reactivated."
TC-090,Admin,Update earn_rate from 10 to 15,"Past orders keep 10, new 15."
TC-091,Admin,Add new Template Category,Gallery displays new filter option immediately.
TC-092,Admin,Export Order CSV,CSV contains high-res print URL and customer phone.
TC-093,UX,Shake animation on login error,Visual feedback on failed attempt.
TC-094,UX,Progress bar during AI Gen,"Smooth progress, does not hang at 99%."
TC-095,UX,Success toast auto-dismiss,Closes after 3 seconds.
TC-096,Journey,Guest Design → Register → Checkout → Admin Confirm → Deliver,Full data lifecycle verification.
TC-097,Journey,Forgotten Password Flow,"Email N-03 received, password updated successfully."
TC-098,Journey,Change Address before Checkout,Summary updates total if shipping fee changes.
TC-099,Journey,Bulk Checkout (10 items),Pie chart reflects aggregate costs correctly.
TC-100,Journey,Upscale low-res upload,"Deducts 3 credits, returns higher resolution asset."
